Wall time,Step,Value
1568481322.1330633,0,-240.30368041992188
1568481328.4933956,1,-305.06982421875
1568481334.2531662,2,-296.50189208984375
1568481339.5289347,3,-196.00054931640625
1568481344.7101893,4,-202.1608428955078
1568481349.7786105,5,-164.90774536132812
1568481355.253038,6,-152.88433837890625
1568481360.7766356,7,-211.64686584472656
1568481366.1575115,8,-156.45425415039062
1568481371.7804549,9,-207.01182556152344
1568481388.141898,10,-230.09188842773438
1568481393.756951,11,-237.3535919189453
1568481399.5119946,12,-136.9464569091797
1568481405.0402768,13,-129.13674926757812
1568481410.3447602,14,-109.77938079833984
1568481415.5314555,15,-94.77604675292969
1568481421.053718,16,-128.31016540527344
1568481426.8838756,17,-171.51608276367188
1568481432.8215094,18,-193.0952911376953
1568481438.5567043,19,-167.41192626953125
1568481457.3583052,20,-143.32664489746094
1568481463.608558,21,-147.23667907714844
1568481469.249752,22,-146.83892822265625
1568481474.7891748,23,-119.23974609375
1568481480.4098454,24,-98.48981475830078
1568481486.0009887,25,-159.10531616210938
1568481491.5292606,26,-101.61154174804688
1568481497.1425107,27,-99.41124725341797
1568481503.2795253,28,-112.47467803955078
1568481509.0987427,29,-80.55104064941406
1568481529.9526062,30,-139.32247924804688
1568481535.832578,31,-161.94830322265625
1568481541.5391147,32,-126.36892700195312
1568481547.2640991,33,-118.24694061279297
1568481552.7069118,34,-80.83304595947266
1568481558.4459436,35,-105.9080810546875
1568481564.1207023,36,-145.47315979003906
1568481569.8849924,37,-134.62954711914062
1568481575.9548328,38,-153.4718475341797
1568481581.4617898,39,-102.68738555908203
1568481600.5303233,40,-97.13451385498047
1568481607.1778638,41,-119.06938171386719
1568481613.2064764,42,-91.60834503173828
1568481619.4963667,43,-104.63255310058594
1568481625.4944448,44,-110.95285034179688
1568481630.9173133,45,-63.261775970458984
1568481636.799106,46,-93.41593170166016
1568481642.3841667,47,-71.25981140136719
1568481647.9462824,48,-78.85115051269531
1568481653.5924523,49,-125.07012176513672
1568481671.6044014,50,-76.37950134277344
1568481677.4469497,51,-95.67771911621094
1568481683.5459025,52,-87.38739776611328
1568481689.305844,53,-74.74291229248047
1568481694.7047405,54,-57.30139923095703
1568481700.513732,55,-84.9945297241211
1568481706.35398,56,-81.12958526611328
1568481711.6627514,57,-62.41976547241211
1568481717.3273253,58,-76.85748291015625
1568481723.111851,59,-57.64651870727539
1568481742.8981688,60,-78.61758422851562
1568481748.7219925,61,-88.49539947509766
1568481754.3208401,62,-69.65003967285156
1568481759.3367114,63,-30.141237258911133
1568481764.5098612,64,-23.565185546875
1568481770.0297387,65,-62.287811279296875
1568481775.5270178,66,-51.53791427612305
1568481781.061602,67,-58.24576187133789
1568481786.894451,68,-58.23163986206055
1568481792.64219,69,-63.35004806518555
1568481812.4978068,70,-66.13594818115234
1568481818.2284675,71,-34.28692626953125
1568481824.1489995,72,-67.06147766113281
1568481830.193891,73,-68.0597915649414
1568481835.920323,74,-40.291934967041016
1568481841.459302,75,-60.67543411254883
1568481847.3319962,76,-67.12330627441406
1568481853.1594832,77,-52.125572204589844
1568481858.7200549,78,-58.588897705078125
1568481863.9431505,79,-33.848541259765625
1568481883.252197,80,-36.028831481933594
1568481888.9661493,81,-41.109703063964844
1568481895.1984668,82,-72.04627227783203
1568481901.0449345,83,-53.79767608642578
1568481907.0401587,84,-51.387489318847656
1568481912.7019918,85,-42.064937591552734
1568481918.5216403,86,-44.86245346069336
1568481923.7935026,87,-28.672109603881836
1568481929.395575,88,-37.45069885253906
1568481934.7054663,89,-16.45779037475586
1568481952.719305,90,-37.6968994140625
1568481958.5746546,91,-17.668304443359375
1568481964.268655,92,-31.051105499267578
1568481969.7485187,93,-33.58031463623047
1568481975.475693,94,-42.5860595703125
1568481980.9970977,95,-37.0427131652832
1568481986.8686674,96,-50.87998962402344
1568481992.7064087,97,-53.218502044677734
1568481998.5368059,98,-28.542024612426758
1568482004.1365619,99,-15.606182098388672
1568482024.292505,100,-26.20222282409668
1568482030.3876104,101,-35.33343505859375
1568482035.715478,102,-34.248985290527344
1568482041.0953035,103,-32.65085220336914
1568482046.9602225,104,-40.970394134521484
1568482052.5188332,105,-36.43659210205078
1568482057.7258766,106,-29.16002082824707
1568482063.4590197,107,-52.528846740722656
1568482068.9718952,108,-42.77397918701172
1568482074.5261407,109,-34.92261505126953
1568482092.443968,110,-30.635351181030273
1568482098.5386684,111,-25.316389083862305
1568482104.469837,112,-27.340970993041992
1568482110.4371293,113,-31.267013549804688
1568482116.0131814,114,-27.266807556152344
1568482121.486866,115,-33.863380432128906
1568482127.543637,116,-27.06064224243164
1568482133.3539264,117,-21.06320571899414
1568482139.12659,118,-30.925743103027344
1568482144.897092,119,-32.03944396972656
1568482164.1582627,120,-24.006162643432617
1568482170.1043622,121,-28.851837158203125
1568482175.9455998,122,-22.936996459960938
1568482181.5775523,123,-26.965702056884766
1568482187.2126908,124,-28.981151580810547
1568482192.4945366,125,-19.167339324951172
1568482197.8612087,126,-17.622642517089844
1568482203.3465016,127,-28.930509567260742
1568482208.7616265,128,-20.71469497680664
1568482214.5083983,129,-15.792135238647461
1568482233.8040528,130,-27.17584991455078
1568482240.189036,131,-21.82455062866211
1568482245.9090936,132,-17.597023010253906
1568482251.7378979,133,-18.84546661376953
1568482257.2943995,134,-25.634517669677734
1568482262.7347538,135,-16.97437858581543
1568482268.3805587,136,-20.34980583190918
1568482273.7093303,137,-14.05351448059082
1568482279.15321,138,-19.946075439453125
1568482285.0043695,139,-26.488447189331055
1568482304.526371,140,-9.771475791931152
1568482310.6300905,141,-21.42788314819336
1568482316.5703578,142,-15.922764778137207
1568482322.3175242,143,-27.43592643737793
1568482328.0158713,144,-11.611239433288574
1568482333.5389113,145,-17.914813995361328
1568482339.3782835,146,-9.883626937866211
1568482345.0640543,147,-8.639603614807129
1568482350.804339,148,-14.343854904174805
1568482356.483471,149,-12.196709632873535
1568482375.8267612,150,-15.79092025756836
1568482381.5928898,151,-7.671788215637207
1568482387.3253605,152,-12.499361038208008
1568482392.5865746,153,-16.5858097076416
1568482397.9737406,154,-15.804402351379395
