Wall time,Step,Value
1568328122.0022407,0,-212.08578491210938
1568328129.1717353,1,-152.9351348876953
1568328135.9204836,2,-131.1181182861328
1568328143.3171701,3,-177.56275939941406
1568328150.0596354,4,-152.14796447753906
1568328158.381268,5,-206.92555236816406
1568328165.689003,6,-130.8973388671875
1568328172.5456018,7,-106.09159851074219
1568328179.5750523,8,-107.27068328857422
1568328186.6797454,9,-123.3631362915039
1568328207.168276,10,-121.75406646728516
1568328214.4200652,11,-113.93331146240234
1568328222.096492,12,-126.9364242553711
1568328229.616016,13,-170.871826171875
1568328236.5621157,14,-87.49067687988281
1568328242.2896254,15,-59.06044387817383
1568328248.6709166,16,-86.10752868652344
1568328254.9645772,17,-75.96943664550781
1568328261.7875197,18,-131.47201538085938
1568328268.7324493,19,-131.91290283203125
1568328291.3621716,20,-94.14196014404297
1568328297.639169,21,-66.82942199707031
1568328304.3207994,22,-120.69515228271484
1568328310.5955338,23,-79.10465240478516
1568328317.2613115,24,-96.78706359863281
1568328324.267285,25,-106.68295288085938
1568328330.651426,26,-65.78384399414062
1568328337.7734723,27,-79.63084411621094
1568328344.3654015,28,-77.24505615234375
1568328351.0020306,29,-75.5449447631836
1568328371.0379748,30,-47.16228485107422
1568328377.865059,31,-68.36974334716797
1568328385.2131903,32,-80.72078704833984
1568328392.005486,33,-78.34984588623047
1568328399.1325412,34,-84.59770202636719
1568328405.4367874,35,-74.44707489013672
1568328412.5705063,36,-79.07689666748047
1568328419.617291,37,-97.41033935546875
1568328426.5411694,38,-83.16525268554688
1568328432.6748931,39,-47.821006774902344
1568328454.3700268,40,-57.03584289550781
1568328462.339437,41,-84.65299224853516
1568328468.7018929,42,-61.83837890625
1568328475.6157506,43,-64.07456970214844
1568328481.896519,44,-46.91524124145508
1568328489.1612127,45,-63.40929412841797
1568328495.9904716,46,-60.190269470214844
1568328502.9863796,47,-67.42115783691406
1568328510.3258452,48,-87.43159484863281
1568328517.5870733,49,-61.374202728271484
1568328540.3463104,50,-59.13674545288086
1568328547.1673467,51,-50.19293212890625
1568328554.0234714,52,-54.610382080078125
1568328560.8495479,53,-76.35206604003906
1568328567.9218938,54,-80.72688293457031
1568328574.8732324,55,-56.021427154541016
1568328581.4897935,56,-39.032344818115234
1568328588.1727712,57,-44.84737777709961
1568328595.1726913,58,-76.39229583740234
1568328601.6660056,59,-45.77828598022461
1568328621.0823328,60,-53.67512893676758
1568328627.4420664,61,-23.54461097717285
1568328633.7227025,62,-37.46245193481445
1568328640.3712423,63,-46.1440544128418
1568328647.4380357,64,-41.804588317871094
1568328653.8021564,65,-42.364585876464844
1568328660.5089898,66,-49.1556282043457
1568328667.4935226,67,-46.88439178466797
1568328674.3067892,68,-37.6655387878418
1568328680.9929385,69,-54.61954116821289
1568328701.8997269,70,-30.942913055419922
1568328708.7037845,71,-30.430238723754883
1568328715.6844003,72,-49.5315055847168
1568328722.7783623,73,-53.90292739868164
1568328729.9486194,74,-60.38677215576172
1568328736.473209,75,-36.58688735961914
1568328742.620339,76,-21.74962043762207
1568328749.2817953,77,-32.06697463989258
1568328755.6207597,78,-20.611263275146484
1568328762.3495243,79,-42.30149459838867
1568328783.4503427,80,-34.10280227661133
1568328790.7910323,81,-37.407249450683594
1568328797.046045,82,-19.41398048400879
1568328803.7232006,83,-33.27676773071289
1568328810.1423464,84,-34.39900207519531
